id,square,price_vnd,latitude,longitude
252,66,20078000,16.03332,108.239574
253,60,16592000,16.03332,108.239574
254,60,19079000,16.03332,108.239574
255,30,7500000,16.065870999999998,108.23993
256,30,6000000,16.062367000000002,108.23741000000001
257,40,4000000,16.067975,108.24428799999998
258,22,4000000,16.066264,108.243131
259,20,7000000,15.981383,108.25246299999999
260,35,4000000,16.054527,108.239101
261,20,2000000,16.034138000000002,108.22135300000001
262,25,1700000,16.047220000000003,108.16593600000002
263,45,15105000,16.074920000000002,108.244179
264,25,1300000,16.034967,108.17943799999999
265,40,7000000,16.075723,108.24108700000001
266,50,4500000,16.038415,108.247542
267,20,1700000,16.041329,108.16924399999999
268,20,2000000,16.037359,108.174039
269,30,2000000,16.035683,108.182177
270,20,2500000,16.039659,108.221103
271,30,4500000,16.057010000000002,108.187752
272,70,9000000,16.044522,108.220421
273,20,7000000,15.980177,108.27466399999999
274,20,9295000,16.047741000000002,108.243098
275,32,6500000,16.045029,108.239475
276,40,8000000,16.06004,108.23868
277,70,9000000,16.080593,108.233805
278,25,4000000,16.038724,108.24799999999999
279,30,3300000,16.037979,108.24788500000001
280,17,1500000,16.002762,108.210948
281,20,2000000,16.005441,108.21181100000001
282,20,1800000,15.993182999999998,108.21467
283,20,1500000,16.004521,108.20888300000001
284,30,2800000,16.017535000000002,108.22833500000002
285,20,1700000,16.046454,108.166822
286,12,1500000,15.997009,108.214257
287,28,2900000,15.995845999999998,108.21307900000001
288,30,10000000,16.032431,108.227483
289,20,4000000,16.085154,108.24694199999999
290,2,2500000,16.017454999999998,108.19678
291,16,2500000,16.061292,108.242879
292,32,3000000,16.004472,108.210799
293,13,1500000,15.99386,108.20636200000001
294,15,1800000,15.992410999999999,108.210573
295,15,1500000,15.987554000000001,108.213017
296,15,3500000,16.055182000000002,108.212093
297,25,4000000,16.055254,108.21215500000001
298,40,5500000,16.067232,108.224326
299,50,13000000,16.079849,108.21795700000001
300,25,2000000,15.997682999999999,108.210574
301,25,2200000,16.043119,108.247083
302,40,8000000,16.064867,108.23905500000001
303,40,8000000,16.04685,108.24225700000001
304,25,5000000,16.055284,108.21203999999999
305,45,8000000,16.038716,108.248322
306,25,2800000,16.062789000000002,108.184554
307,17,2000000,16.076166,108.17291399999999
308,16,2000000,16.004472,108.210799
309,30,3500000,16.004658,108.20946799999999
310,55,8000000,16.037157,108.23885200000001
311,60,12000000,16.052782,108.246357
312,80,6000000,16.041067,108.23991399999998
313,35,7500000,16.052685,108.243808
314,30,5500000,16.039098000000003,108.248926
315,50,9528000,16.041876000000002,108.217661
316,35,6000000,16.019287,108.255568
317,40,23000000,16.019267000000003,108.255614
318,35,8500000,16.058167,108.24436599999999
319,45,12650000,16.04841,108.242202
320,45,11619000,16.051617999999998,108.24424099999999
321,40,4000000,16.085192000000003,108.24696100000001
322,40,7500000,16.056578,108.245047
323,35,7000000,16.046395,108.24615700000001
324,40,8500000,16.072264,108.24252
325,45,11619000,16.048628,108.247972
326,40,10000000,16.056293,108.232473
327,44,9500000,16.080271,108.218274
328,30,6000000,16.072264,108.24252
329,40,6900000,16.048628,108.247972
330,40,9200000,16.051636,108.24360700000001
331,35,5500000,15.976094,108.26099599999999
332,35,5500000,16.041973000000002,108.218309
333,25,3500000,16.073192000000002,108.206556
334,30,3700000,16.041663,108.21553999999999
335,30,2300000,16.033364000000002,108.21144199999999
336,22,2000000,15.9853,108.26848100000001
337,45,6000000,16.030413,108.24151299999998
338,40,9500000,16.056589000000002,108.24503999999999
339,20,2000000,16.024692,108.245341
340,35,9500000,16.058167,108.24436599999999
341,35,17250000,16.06949,108.24201699999999
342,40,7000000,16.028273000000002,108.24050600000001
343,40,6000000,16.055403,108.211403
344,30,800000,16.082278,108.146072
345,30,5000000,16.066572,108.223702
346,50,6500000,16.051074,108.24501699999999
347,40,4000000,16.050760999999998,108.220615
348,20,2500000,16.019973999999998,108.24926599999999
349,20,2000000,16.019962,108.249293
350,45,7500000,16.036510999999997,108.245434
351,40,8000000,16.058166,108.24457
352,40,4000000,16.015478,108.22263500000001
353,45,9295000,16.048628,108.247972
354,20,5750000,16.075431,108.22903600000001
355,40,3000000,15.979429000000001,108.249375
356,50,11000000,16.045669,108.24767
357,40,6000000,16.057264,108.24061200000001
358,40,8000000,16.049147,108.24593700000001
359,45,8500000,16.061975,108.241922
360,30,5000000,16.030148,108.22339099999999
361,35,3000000,16.082082999999997,108.14544699999999
362,40,8050000,16.038072,108.24874799999999
363,20,2000000,15.979514000000002,108.250027
364,20,2000000,16.057297,108.239962
365,20,2000000,16.077785000000002,108.156981
366,28,7500000,16.049646,108.24503200000001
367,25,2500000,16.016687,108.22131200000001
368,32,3000000,16.077201000000002,108.172227
369,45,11619000,16.051921,108.242949
370,20,3000000,16.062253,108.17475300000001
371,25,4000000,16.058541,108.21574199999999
372,20,2200000,16.037058,108.215896
373,60,9660000,16.048274,108.24675800000001
374,50,11619000,16.036566,108.25098200000001
375,35,3000000,16.076703,108.16968200000001
376,12,1100000,16.076253,108.169459
377,20,2000000,16.035203,108.214823
378,25,2000000,16.059936999999998,108.244297
379,40,9000000,16.056578,108.245047
380,25,2500000,16.076703,108.16968200000001
381,55,8855000,16.046395,108.24615700000001
382,7,12781000,16.081258,108.24520700000001
383,30,8510000,16.075431,108.22903600000001
384,35,7000000,16.072167999999998,108.241156
385,30,3200000,16.048636,108.174008
386,25,3500000,16.036191,108.218296
387,50,4500000,16.043423999999998,108.24301799999999
388,40,7000000,16.049529,108.24431100000001
389,30,12000000,16.053392000000002,108.24106499999999
390,33,8000000,16.051592000000003,108.24426000000001
391,25,2000000,16.042937,108.171373
392,20,3000000,16.048257999999997,108.174067
393,50,12781000,16.058094,108.245677
394,25,1700000,16.04372,108.24293
395,60,9700000,16.056619,108.21708600000001
396,55,9200000,16.056619,108.21708600000001
397,17,2000000,16.045304,108.24629399999999
398,40,12000000,16.056601999999998,108.24463300000001
399,50,7500000,16.060586999999998,108.243498
400,30,6000000,16.061212,108.24296299999999
401,65,10000000,16.066038,108.242691
402,20,1100000,16.087219,108.153155
403,55,6000000,16.075542000000002,108.231875
404,20,1000000,16.077361,108.12899399999999
405,45,18591000,16.074920000000002,108.244179
406,30,7000000,16.076995999999998,108.243803
407,25,3000000,16.032365,108.223455
408,25,6500000,16.078837,108.23061299999999
409,15,2000000,16.061225,108.24294599999999
410,18,3500000,16.059101000000002,108.23591699999999
411,50,10000000,16.015612,108.25596200000001
412,30,6500000,16.063437,108.236373
413,24,3200000,16.022431,108.20933899999999
414,35,6300000,16.059659,108.23869499999999
415,20,1300000,16.074614,108.14957
416,20,2800000,16.093013,108.248579
417,33,2500000,16.044547,108.16466100000001
418,25,3500000,16.05705,108.21468
419,18,3500000,16.047984,108.221934
420,30,8500000,16.076995999999998,108.243803
421,35,5500000,16.057010000000002,108.187752
422,25,7500000,16.038415,108.247542
423,25,2500000,16.041522,108.219151
424,20,1800000,16.077242000000002,108.17073
425,7,12781000,16.081258,108.24520700000001
426,22,3200000,16.044218,108.245975
427,18,2300000,16.046469000000002,108.164947
428,15,1800000,16.044631,108.164956
429,45,8000000,16.052782,108.243827
430,20,4500000,16.012499,108.22728799999999
431,40,4500000,16.01686,108.231035
432,25,2500000,16.066599,108.19780800000001
433,20,1700000,15.997310999999998,108.20647
434,45,7500000,16.052782,108.243827
435,25,9200000,16.04971,108.244451
436,25,6000000,16.053535999999998,108.24098300000001
437,35,7500000,16.053535999999998,108.24098300000001
438,16,2500000,16.032516,108.22836000000001
439,60,12000000,16.032585,108.21481599999998
440,22,2000000,16.007196,108.198656
441,30,2500000,16.006052,108.192328
442,16,2000000,16.005775,108.226219
443,25,2500000,16.011008,108.196044
444,35,6900000,16.075485999999998,108.241625
445,42,13920000,16.03332,108.239574
446,15,1900000,16.005841,108.226056
447,63,13800000,16.080631,108.24498999999999
448,35,9295000,16.051921,108.242949
449,18,1500000,16.032470999999997,108.22816100000001
450,20,2000000,16.013904999999998,108.19944
451,30,2500000,16.014774,108.201224
452,60,18242000,16.03332,108.239574
453,45,8050000,16.048469,108.24656999999999
454,6,11619000,16.049057,108.247346
455,80,11619000,16.050777,108.24639199999999
